genre,count,percentage
Action,45888,37.43
Adventure,24053,19.62
Casual,23826,19.43
Indie,10723,8.75
Unknown,8413,6.86
Simulation,2449,2.0
RPG,1910,1.56
Strategy,1585,1.29
Free To Play,870,0.71
Racing,549,0.45
Utilities,356,0.29
Violent,350,0.29
Animation & Modeling,345,0.28
Sports,220,0.18
Massively Multiplayer,203,0.17
Design & Illustration,196,0.16
Education,178,0.15
Audio Production,139,0.11
Sexual Content,88,0.07
Nudity,51,0.04
Video Production,49,0.04
Software Training,42,0.03
Gore,33,0.03
Early Access,33,0.03
Photo Editing,27,0.02
Accounting,20,0.02
Game Development,12,0.01
Web Publishing,3,0.0
